name,rating,numberofbik,price,WatchthisMonth,Kosher,Address,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,City,Street,Converted_Kosher,Price_Convert
כוסברה,8,30,מחיר סביר,113,כשר,"היוצרים 69, נהריה",0,0,1,0,0,1,1,0,0,0,0,0,נהריה,היוצרים 69,1,1
סלון יווני אשדוד,8.5,297,מחיר סביר,528,כשר,"הטיילת 21, אשדוד",0,0,1,0,1,1,1,0,0,0,0,1,אשדוד,הטיילת 21,1,1
אורלוב לב השווארמה,8.7,2674,מחיר זול,676,כשר,"זאב אורלוב 55, פתח תקווה",0,0,1,0,0,1,0,0,0,1,0,1,פתח תקווה,זאב אורלוב 55,1,0
סלייס איטלקי,8.3,17,מחיר סביר,1056,כשר,"העמל 2, אריאל",0,1,0,0,0,0,1,0,0,1,0,1,אריאל,העמל 2,1,1
קפה גרג,6,9,מחיר סביר,92,לא כשר,"משתלת בית חי, כפר כנא",0,0,0,0,0,1,1,0,1,1,0,0,כפר כנא,משתלת בית חי,0,1
Mercato,8.4,78,מחיר זול,928,לא כשר,קיבוץ לוחמי הגטאות,0,1,0,0,1,0,0,0,0,0,0,1,קיבוץ לוחמי הגטאות,0,0,0
Upper Market,8.3,25,מחיר סביר,151,כשר,"אריאל שרון 4, גבעתיים",1,1,0,0,0,0,1,0,0,1,0,1,גבעתיים,אריאל שרון 4,1,1
הבקתה קיבוץ שער העמקים,7.5,9,מחיר סביר,93,כשר,שער העמקים,0,0,1,0,0,1,0,0,0,0,0,0,שער העמקים,0,1,1
בורגרס בר,8.4,761,מחיר סביר,270,לא כשר,"הגננת 216, ירושלים",0,0,1,0,0,0,0,0,0,1,1,1,ירושלים,הגננת 216,0,1
גריל עוף דהן,8.4,549,מחיר סביר,175,כשר,"הצנחנים 7, גבעתיים",0,0,1,0,0,0,0,0,0,1,0,1,גבעתיים,הצנחנים 7,1,1
Mao Sushi מאו סושי,7.9,195,מחיר סביר,468,כשר,"קרן היסוד 8, באר יעקב",1,1,0,0,0,0,0,0,0,1,0,1,באר יעקב,קרן היסוד 8,1,1
ארקפה,8.2,358,מחיר סביר,212,כשר,"גלבוע 1, בני דרור",0,1,0,0,0,0,0,0,1,0,0,0,בני דרור,גלבוע 1,1,1
Merkaza,8.8,12970,מחיר סביר,684,לא כשר,"אזור תעשייה, ירכא",1,0,1,0,0,0,0,1,1,0,0,0,ירכא,אזור תעשייה,0,1
שווארמה נחלת יצחק,8.3,3717,מחיר זול,552,כשר,"נחלת יצחק 7, תל אביב יפו",0,0,1,0,0,0,0,0,0,1,0,1,תל אביב יפו,נחלת יצחק 7,1,0
אלמנטס קפה,9.1,451,מחיר סביר,274,כשר,"כיכר המגינים, צפת",1,0,0,0,0,1,0,0,1,0,0,0,צפת,כיכר המגינים,1,1
מנדרין,8.7,1454,מחיר סביר,546,לא כשר,"שדרות מוריה 117, חיפה",0,0,0,0,0,1,1,0,1,0,0,0,חיפה,שדרות מוריה 117,0,1
אמירוס,8.5,89,מחיר סביר,733,לא כשר,שעל,0,0,0,0,0,1,0,0,1,1,0,1,שעל,0,0,1
עתיקה,8.1,789,מחיר סביר,304,כשר,"העמקים 1, קרית ביאליק",0,0,1,0,0,1,0,0,0,0,0,0,קרית ביאליק,העמקים 1,1,1
קפה קפה,7.4,118,מחיר סביר,749,לא כשר,"טרמינל 1, נמל תעופה בן גוריון",0,1,0,0,0,0,0,0,1,0,0,0,נמל תעופה בן גוריון,טרמינל 1,0,1
ביגה,7.6,93,מחיר סביר,236,לא כשר,"דרך אריאל שרון 41, נוף הגליל (עופר סנטר)",0,1,1,0,0,0,0,0,1,0,0,0,נוף הגליל ,דרך אריאל שרון 41,0,1
כאמל,8,3257,מחיר זול,182,לא כשר,"חוף דדו זמיר, חיפה",0,0,0,0,0,1,1,0,1,0,1,0,חיפה,חוף דדו זמיר,0,0
גומבה,8.8,8181,מחיר סביר,1359,לא כשר,"לזרוב 23, ראשון לציון",0,1,0,0,0,1,1,0,0,1,0,1,ראשון לציון,לזרוב 23,0,1
פלאפל בשר,8.7,117,מחיר סביר,0,לא כשר,"יוסף לישנסקי 20, ראשון לציון",0,0,0,1,0,0,0,0,0,0,0,0,ראשון לציון,יוסף לישנסקי 20,0,1
T Bone,8.4,24,מחיר סביר,505,לא כשר,"ברכת רם, מג'דל שמס",0,0,1,0,0,1,1,0,0,0,0,0,מג'דל שמס,ברכת רם,0,1
